work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,covid_mean_cases
2022,MI,FT,Data Engineer,85939,ES,100,ES,M,28171
2022,MI,FT,Data Engineer,75197,ES,100,ES,M,28171
2022,MI,FT,Data Engineer,101875,GB,100,GB,M,41353
2022,MI,FT,Data Engineer,89140,GB,100,GB,M,41353
2022,MI,FT,Data Engineer,85939,GR,100,GR,M,14715
2022,MI,FT,Data Engineer,75197,GR,100,GR,M,14715
2022,SE,FT,Machine Learning Engineer,189650,US,0,US,M,158462
2022,SE,FT,Machine Learning Engineer,164996,US,0,US,M,158462
2022,MI,FT,Data Analyst,42969,GR,100,GR,M,14715
2022,MI,FT,Data Analyst,32227,GR,100,GR,M,14715
2022,MI,FT,Data Engineer,95508,GB,100,GB,M,41353
2022,MI,FT,Data Engineer,76406,GB,100,GB,M,41353
2022,SE,FT,Data Scientist,215300,US,0,US,L,158462
2022,SE,FT,Data Scientist,140400,US,0,US,L,158462
2022,MI,FT,Data Engineer,64454,ES,100,ES,M,28171
2022,MI,FT,Data Engineer,48340,ES,100,ES,M,28171
2022,SE,FT,Data Scientist,260000,US,100,US,M,158462
2022,SE,FT,Data Scientist,180000,US,100,US,M,158462
2022,MI,FT,Data Scientist,70039,GB,0,GB,M,41353
2022,MI,FT,Data Scientist,44570,GB,0,GB,M,41353
2022,MI,FT,Data Engineer,64454,GR,100,GR,M,14715
2022,MI,FT,Data Engineer,48340,GR,100,GR,M,14715
2022,MI,FT,Data Engineer,76406,GB,100,GB,M,41353
2022,MI,FT,Data Engineer,57304,GB,100,GB,M,41353
2021,MI,FT,Machine Learning Engineer,51064,IT,50,IT,L,10983
2022,SE,FT,Data Science Engineer,60000,AR,100,MX,L,12395
2022,MI,FT,Data Engineer,82900,US,0,US,M,158462
2022,MI,FT,Data Engineer,63900,US,0,US,M,158462
2022,MI,FT,Machine Learning Scientist,160000,US,100,US,L,158462
2022,MI,FT,Machine Learning Scientist,112300,US,100,US,L,158462
2022,MI,FT,Data Science Manager,241000,US,100,US,M,158462
2022,MI,FT,Data Science Manager,159000,US,100,US,M,158462
2022,SE,FT,Data Scientist,180000,US,0,US,M,158462
2022,SE,FT,Data Scientist,80000,US,0,US,M,158462
2022,MI,FT,Data Analyst,58000,US,0,US,S,158462
2022,MI,FT,Data Analyst,58000,US,0,US,S,158462
2022,SE,FT,Data Engineer,136000,US,0,US,M,158462
2022,SE,FT,Data Engineer,108800,US,0,US,M,158462
2022,EX,FT,Data Engineer,242000,US,100,US,M,158462
2022,EX,FT,Data Engineer,200000,US,100,US,M,158462
2022,MI,FT,Data Scientist,63672,GB,0,GB,M,41353
2022,MI,FT,Data Scientist,38203,GB,0,GB,M,41353
2022,MI,FT,Data Engineer,76406,GB,0,GB,M,41353
2022,MI,FT,Data Engineer,50937,GB,0,GB,M,41353
2022,SE,FT,Data Scientist,165220,US,100,US,M,158462
2022,SE,FT,Data Scientist,120160,US,100,US,M,158462
2022,SE,FT,Data Analyst,124190,US,100,US,M,158462
2022,SE,FT,Data Analyst,90320,US,100,US,M,158462
2022,SE,FT,Data Engineer,181940,US,0,US,M,158462
2022,SE,FT,Data Engineer,132320,US,0,US,M,158462
2022,SE,FT,Data Engineer,220110,US,0,US,M,158462
2022,SE,FT,Data Engineer,160080,US,0,US,M,158462
2022,SE,FT,Data Scientist,180000,US,0,US,L,158462
2022,SE,FT,Data Scientist,120000,US,0,US,L,158462
2022,MI,FT,Data Analyst,126500,US,0,US,M,158462
2022,MI,FT,Data Analyst,106260,US,0,US,M,158462
2022,SE,FT,Data Analyst,116000,US,0,US,M,158462
2022,SE,FT,Data Analyst,99000,US,0,US,M,158462
2022,SE,FT,Data Analyst,155000,US,100,US,M,158462
2022,SE,FT,Data Analyst,120600,US,100,US,M,158462
2022,MI,FT,Data Scientist,130000,US,0,US,M,158462
2022,MI,FT,Data Scientist,90000,US,0,US,M,158462
2022,MI,FT,Data Engineer,170000,US,100,US,M,158462
2022,MI,FT,Data Engineer,150000,US,100,US,M,158462
2022,SE,FT,Data Analyst,102100,US,100,US,M,158462
2022,SE,FT,Data Analyst,84900,US,100,US,M,158462
2022,SE,FT,Data Scientist,136620,US,100,US,M,158462
2022,SE,FT,Data Scientist,99360,US,100,US,M,158462
2022,SE,FT,Data Scientist,114609,GB,0,GB,M,41353
2022,SE,FT,Data Scientist,101875,GB,0,GB,M,41353
2022,SE,FT,Data Scientist,146000,US,100,US,M,158462
2022,SE,FT,Data Scientist,123000,US,100,US,M,158462
2022,EN,FT,Data Engineer,50937,GB,100,GB,M,41353
2022,EN,FT,Data Engineer,44570,GB,100,GB,M,41353
2022,EX,FT,Data Analyst,130000,US,100,US,M,158462
2022,EX,FT,Data Analyst,110000,US,100,US,M,158462
2022,SE,FT,Data Analyst,170000,US,100,US,M,158462
2022,SE,FT,Data Analyst,135000,US,100,US,M,158462
2022,SE,FT,Data Science Manager,161342,US,100,US,M,158462
2022,SE,FT,Data Science Manager,137141,US,100,US,M,158462
2022,SE,FT,Data Scientist,167000,US,100,US,M,158462
2022,SE,FT,Data Scientist,123000,US,100,US,M,158462
2022,SE,FT,Data Engineer,76406,GB,0,GB,M,41353
2022,SE,FT,Data Engineer,63672,GB,0,GB,M,41353
2022,SE,FT,Data Scientist,211500,US,100,US,M,158462
2022,SE,FT,Data Scientist,138600,US,100,US,M,158462
2022,SE,FT,Data Architect,192400,CA,100,CA,M,1457
2022,SE,FT,Data Architect,90700,CA,100,CA,M,1457
2022,SE,FT,Data Analyst,130000,CA,100,CA,M,1457
2022,SE,FT,Data Analyst,61300,CA,100,CA,M,1457
2022,SE,FT,Data Analyst,130000,CA,100,CA,M,1457
2022,SE,FT,Data Analyst,61300,CA,100,CA,M,1457
2022,SE,FT,Data Engineer,160000,US,0,US,L,158462
2022,SE,FT,Data Engineer,113000,US,0,US,L,158462
2022,SE,FT,Data Scientist,150000,US,0,US,M,158462
